,GPS經度,GPS緯度,發生縣市名稱,肇因研判子類別名稱-主要,速限-第1當事者,道路型態大類別名稱,事故位置大類別名稱,號誌-號誌種類名稱,risk
26795,120.225695,22.918616,臺南市仁德區段巷弄號二仁路一段與中正路一段路口與段巷弄口,未注意車前狀態,40,交岔路,交叉路口,行車管制號誌,low
26796,120.225695,22.918616,臺南市仁德區二行里中正路一段段巷弄號附近與二仁路一段段巷弄口,右轉彎未依規定,50,交岔路,交叉路口,行車管制號誌,low
26797,120.225695,22.918616,臺南市仁德區二行里二仁路一段段號中正路一段,左轉彎未依規定,50,交岔路,交叉路口,行車管制號誌,low
26800,120.225695,22.918616,臺南市仁德區二仁路一段段巷弄號西側與中正西路段巷弄口,未保持行車安全間隔,50,交岔路,交叉路口,行車管制號誌,low
26805,120.225695,22.918616,臺南市仁德區中正路一段段二仁路一段口巷弄號,其他引起事故之違規或不當行為,50,交岔路,交叉路口,行車管制號誌,low
26808,120.225695,22.918616,臺南市仁德區二仁路1段附近二行里中正西路,右轉彎未依規定,70,交岔路,交叉路口,行車管制號誌,low
26809,120.225695,22.918616,臺南市仁德區二仁路一段段號中正路一段,左轉彎未依規定,50,交岔路,路段,行車管制號誌,low
26810,120.225695,22.918616,臺南市仁德區二仁路一段段巷弄號口與中正西路段巷弄口,其他引起事故之違規或不當行為,50,交岔路,交叉路口,行車管制號誌,low
26813,120.225695,22.918616,臺南市仁德區二仁路段中正西路口巷弄號,尚未發現肇事因素,60,交岔路,交叉路口,行車管制號誌,low
26814,120.225695,22.918616,臺南市仁德區段中正路一段與二仁路一段路口,右轉彎未依規定,70,單路部分,路段,行車管制號誌,low
26815,120.225695,22.918616,臺南市仁德區二行里二仁路一段段315號中正西路202,未依規定讓車,50,交岔路,交叉路口,無號誌,low
26821,120.225695,22.918616,臺南市仁德區段口巷弄號中正西路與二仁路一段路口,未注意車前狀態,50,交岔路,交叉路口,行車管制號誌,low
26822,120.225695,22.918616,臺南市仁德區段中正路一段與二仁路一段路口,右轉彎未依規定,50,交岔路,交叉路口,行車管制號誌,low
26825,120.225695,22.918616,臺南市仁德區中正路一段段巷弄號口與二仁路一段段巷弄口,未注意車前狀態,50,單路部分,路段,無號誌,low
26827,120.225695,22.918616,臺南市仁德區二仁路一段段號中正西路,未依規定讓車,60,交岔路,交叉路口,行車管制號誌(附設行人專用號誌),low
42018,120.24149,22.974445,臺南市仁德區段中山路與文心路口,違反號誌管制或指揮,50,交岔路,交叉路口,行車管制號誌,low
42019,120.24149,22.974445,臺南市仁德區中山路段巷弄號口與文心路段巷弄口,未保持行車安全距離,50,交岔路,交叉路口,行車管制號誌(附設行人專用號誌),low
42021,120.24149,22.974445,臺南市仁德區中山路段巷弄號口與文心路段巷弄口,未保持行車安全間隔,50,交岔路,路段,行車管制號誌(附設行人專用號誌),low
