,Unnamed: 0,GPS經度,GPS緯度,發生縣市名稱,肇因研判子類別名稱-主要,速限-第1當事者,道路型態大類別名稱,事故位置大類別名稱,號誌-號誌種類名稱,risk
1530,9599,120.210242,23.006242,臺南市北區公園路段東側公園路321,左轉彎未依規定,50,交岔路,交叉路口,閃光號誌,medium
1531,9600,120.210242,23.006242,臺南市北區公園路段東側公園路758,違反特定標誌(線)禁制,50,單路部分,路段,行車管制號誌(附設行人專用號誌),medium
1532,9601,120.210242,23.006242,臺南市北區公園路段號公園路321,未注意車前狀態,50,交岔路,交叉路口,行車管制號誌,medium
1533,9602,120.210242,23.006242,臺南市北區公園路段口公園路820,未依規定讓車,50,交岔路,交叉路口,行車管制號誌(附設行人專用號誌),medium
1534,9605,120.210242,23.006242,臺南市北區公園路段巷弄號口與公園路段321巷弄口,未注意車前狀態,50,交岔路,交叉路口,行車管制號誌,medium
1535,9606,120.210242,23.006242,臺南市北區公園路1092段南側公園路107417,未依規定讓車,30,交岔路,交叉路口,閃光號誌,medium
1536,9607,120.210242,23.006242,臺南市北區公園路段口公園路862,未依規定讓車,50,交岔路,交叉路口,無號誌,medium
1537,9609,120.210242,23.006242,臺南市北區公園路段北側公園路788,未依規定讓車,50,交岔路,交叉路口,無號誌,medium
1538,9610,120.210242,23.006242,臺南市北區公園路段634巷弄號東側與公園路段624巷弄口,未依規定讓車,30,交岔路,交叉路口,無號誌,medium
1539,9611,120.210242,23.006242,臺南市北區公園路段北側公園路904,其他引起事故之違規或不當行為,30,交岔路,交叉路口,行車管制號誌(附設行人專用號誌),medium
1540,9613,120.210242,23.006242,臺南市北區公園路段號公園路1032,起步未注意其他車(人)安全,50,交岔路,交叉路口,無號誌,medium
1541,9614,120.210242,23.006242,臺南市北區公園路段994口公園路99422,未依規定讓車,30,交岔路,交叉路口,無號誌,medium
1542,9615,120.210242,23.006242,臺南市北區公園路段巷弄號東側與公園路段1074巷弄口,未依規定讓車,50,交岔路,交叉路口,行車管制號誌,medium
1543,9616,120.210242,23.006242,臺南市北區公園路段口公園路593,未依規定讓車,50,交岔路,交叉路口,閃光號誌,medium
1544,9617,120.210242,23.006242,臺南市北區公園路段公園路口巷弄號,未保持行車安全間隔,50,交岔路,交叉路口,行車管制號誌,medium
1545,9618,120.210242,23.006242,臺南市北區公園路段口公園路321,未依規定讓車,50,交岔路,交叉路口,行車管制號誌(附設行人專用號誌),medium
1546,9619,120.210242,23.006242,臺南市北區公園路段1074口公園路107420,未依規定讓車,50,交岔路,交叉路口,無號誌,medium
1547,9620,120.210242,23.006242,臺南市北區公園路段口公園路1032,未依規定讓車,30,交岔路,交叉路口,無號誌,medium
1548,9621,120.210242,23.006242,臺南市北區公園路段口公園路1074,未依規定讓車,50,交岔路,交叉路口,行車管制號誌(附設行人專用號誌),medium
1549,9623,120.210242,23.006242,臺南市北區公園路段口公園路321,違反號誌管制或指揮,50,交岔路,交叉路口,行車管制號誌,medium
1550,9625,120.210242,23.006242,臺南市北區公園路段634北側公園路624,未依規定讓車,30,交岔路,交叉路口,無號誌,medium
1551,9627,120.210242,23.006242,臺南市北區公園路段口公園路597,其他引起事故之違規或不當行為,50,交岔路,交叉路口,閃光號誌,medium
1552,9628,120.210242,23.006242,臺南市北區公園路段862號公園路86219,未依規定讓車,30,交岔路,交叉路口,無號誌,medium
1553,9629,120.210242,23.006242,臺南市北區公園路段1092號公園路107417,未依規定讓車,30,交岔路,交叉路口,閃光號誌,medium
1554,9630,120.210242,23.006242,臺南市北區公園路段附近公園路593,橫越道路不慎,50,交岔路,交叉路口,無號誌,medium
1555,9631,120.210242,23.006242,臺南市北區公園路段918巷弄號東側與公園路段918巷弄口,未依規定讓車,30,交岔路,交叉路口,無號誌,medium
1556,9632,120.210242,23.006242,臺南市北區公園路段附近公園路994,迴轉未依規定,50,交岔路,交叉路口,閃光號誌,medium
1557,12543,120.213093,23.014721,臺南市北區公園路段北安路一段口巷弄號,未注意車前狀態,50,交岔路,交叉路口,行車管制號誌(附設行人專用號誌),medium
1558,12544,120.213093,23.014721,臺南市北區公園路段口北安路一段,未注意車前狀態,50,交岔路,路段,閃光號誌,medium
1559,12546,120.213093,23.014721,臺南市北區北安路一段段號公園路,未依規定讓車,50,交岔路,交叉路口,行車管制號誌(附設行人專用號誌),medium
1560,12551,120.213093,23.014721,臺南市北區公園路段北安路一段口巷弄號,未保持行車安全間隔,50,交岔路,交叉路口,行車管制號誌(附設行人專用號誌),medium
1561,12557,120.213093,23.014721,臺南市北區北安路段口公園路,違反號誌管制或指揮,50,交岔路,交叉路口,行車管制號誌,medium
1562,12559,120.213093,23.014721,臺南市北區公園路段東側北安路,未依規定讓車,50,交岔路,交叉路口,行車管制號誌(附設行人專用號誌),medium
1563,12561,120.213093,23.014721,臺南市北區公園路段號北安路一段,其他引起事故之違規或不當行為,50,交岔路,交叉路口,行車管制號誌(附設行人專用號誌),medium
1564,12562,120.213093,23.014721,臺南市北區公園路段口北安路,違規超車,50,交岔路,交叉路口,行車管制號誌,medium
1565,12563,120.213093,23.014721,臺南市北區北安路一段段號公園路597,未依規定讓車,30,交岔路,交叉路口,無號誌,medium
1566,12564,120.213093,23.014721,臺南市北區公園路段北安路一段口597巷弄號,起步未注意其他車(人)安全,30,交岔路,交叉路口,無號誌,medium
1567,12566,120.213093,23.014721,臺南市北區北安路一段段公園路口巷弄號,未注意車前狀態,30,交岔路,交叉路口,行車管制號誌(附設行人專用號誌),medium
1568,12567,120.213093,23.014721,臺南市北區公園路段北側北安路,違反號誌管制或指揮,50,交岔路,交叉路口,行車管制號誌(附設行人專用號誌),medium
1569,12568,120.213093,23.014721,臺南市北區公園路段南側北安路一段,不明原因肇事,50,交岔路,交叉路口,行車管制號誌(附設行人專用號誌),medium
